KatpointTargets,ProposalId,StartTime,CaptureBlockId,Description,Duration,CAS.ProductTransferStatus,Public,NumFreqChannels,Targets,MinFreq,MaxFreq
"J1909-3744\, radec Pulsars\, 19:09:47.43\, -37:44:14.5,J1713+0747\, radec Pulsars\, 17:13:49.53\, 7:47:37.5,J1719-1438\, radec Pulsars\, 17:19:10.07\, -14:38:00.9,J1737-0811\, radec Pulsars\, 17:37:47.11\, -8:11:08.9,J1744-1134\, radec Pulsars\, 17:44:29.41\, -11:34:54.7,J1751-2857\, radec Pulsars\, 17:51:32.69\, -28:57:46.5,J1756-2251\, radec Pulsars\, 17:56:46.63\, -22:51:59.2,J1757-5322\, radec Pulsars\, 17:57:15.16\, -53:22:26.4,J1801-1417\, radec Pulsars\, 18:01:51.07\, -14:17:34.5,J1802-2124\, radec Pulsars\, 18:02:05.33\, -21:24:03.7,J1811-2405\, radec Pulsars\, 18:11:19.85\, -24:05:18.4,J1823-3021A\, radec Pulsars\, 18:23:40.51\, -30:21:39.7,J1824-2452A\, radec Pulsars\, 18:24:32.90\, -24:52:12.0,J1825-0319\, radec Pulsars\, 18:25:55.95\, -3:19:57.6,J1843-1113\, radec Pulsars\, 18:43:41.26\, -11:13:31.1,J1918-0642\, radec Pulsars\, 19:18:48.03\, -6:42:34.9",SCI-20180516-MB-05,2020-03-18T02:27:16Z,1584498370,MeerTIME MSP regular  (2020-03-12) part 3,11035.33,SPOOLED,,1024,"J1909-3744,J1713+0747,J1719-1438,J1737-0811,J1744-1134,J1751-2857,J1756-2251,J1757-5322,J1801-1417,J1802-2124,J1811-2405,J1823-3021A,J1824-2452A,J1825-0319,J1843-1113,J1918-0642",8.56E8,1.712E9
"J1939-6342_S\, radec\, 19:39:25.03\, -63:52:45.5,J1939-6342_O | PKS 1934-63\, radec\, 19:39:25.03\, -63:42:45.7\, (200.0 12000.0 -11.11 7.777 -1.231),J1939-6342_N\, radec\, 19:39:25.03\, -63:32:45.9",SCI-20180516-MB-99,2020-03-18T02:17:18Z,1584497834,Fluxcal J1939-6342,255.89,SPOOLED,,1024,"J1939-6342_S,J1939-6342_O,PKS 1934-63,J1939-6342_N",8.56E8,1.712E9
"J1939-6342 | PKS1934-638 | PKS 1934-63\, radec bfcal single_accumulation\, 19:39:25.03\, -63:42:45.6\, (408.0 8640.0 -30.76 26.49 -7.098 0.6053)",SCI-20180516-MB-99,2020-03-18T02:09:00Z,1584497337,Meertime 1K L-band phase up with flatten bandpass,399.83,SPOOLED,,1024,"J1939-6342,PKS1934-638,PKS 1934-63",8.56E8,1.712E9
"J0521+1638 | 3C138\, radec polcal\, 5:21:09.89\, 16:38:22.1,J0408-6545 | 0408-658\, radec fluxcal bpcal delaycal\, 4:08:20.38\, -65:45:09.1,J1323-4452 | 1320-446\, radec gaincal\, 13:23:04.25\, -44:52:33.8,IC 4296\, radec target\, 13:36:39.03\, -33:57:57.0,J1331+3030 | 3C286\, radec delaycal fluxcal bpcal polcal\, 13:31:08.29\, 30:30:33.0,J1939-6342 | 1934-638\, radec fluxcal bpcal delaycal\, 19:39:25.03\, -63:42:45.6",SSV-20200310-FC-02,2020-03-16T18:47:07Z,1584384359,Initial Observation of the Radio Galaxy IC 4296 (PKS 1333-33),36320.63,SPOOLED,true,4096,"J0521+1638,3C138,J0408-6545,0408-658,J1323-4452,1320-446,IC 4296,J1331+3030,3C286,J1939-6342,1934-638",8.56E8,1.712E9
"J1709-4429\, radec Pulsars\, 17:09:42.62\, -44:29:13.0",SCI-20180516-MB-02,2020-03-16T09:48:30Z,1584352106,meertime TPA J1709-4429,303.87,SPOOLED,,1024,J1709-4429,8.56E8,1.712E9
"J1818-1607\, radec\, 18:18:00.22\, -16:07:52.3",SCI-20180516-MB-02,2020-03-16T09:30:39Z,1584351030,meertime TPA J1818-1607,959.59,SPOOLED,,1024,J1818-1607,8.56E8,1.712E9
"J1756-2251\, radec Pulsars\, 17:56:46.63\, -22:51:59.2,J1909-3744\, radec Pulsars\, 19:09:47.43\, -37:44:14.5",SCI-20180516-MB-03,2020-03-16T05:21:25Z,1584336074,Meertime Relbin J1756-2251 part 2,14833.72,SPOOLED,,1024,"J1756-2251,J1909-3744",8.56E8,1.712E9
"J1939-6342 | PKS1934-638 | PKS 1934-63\, radec bfcal single_accumulation\, 19:39:25.03\, -63:42:45.6\, (408.0 8640.0 -30.76 26.49 -7.098 0.6053)",SCI-20180516-MB-99,2020-03-16T05:08:52Z,1584335330,Meertime 1K L-band phase up with flatten bandpass,495.79,SPOOLED,,1024,"J1939-6342,PKS1934-638,PKS 1934-63",8.56E8,1.712E9
"J1756-2251\, radec Pulsars\, 17:56:46.63\, -22:51:59.2",SCI-20180516-MB-03,2020-03-16T01:06:19Z,1584320770,Meertime Relbin J1756-2251 part 1,14465.88,SPOOLED,,1024,J1756-2251,8.56E8,1.712E9
"J1939-6342_S\, radec\, 19:39:25.03\, -63:52:45.5,J1939-6342_O | PKS 1934-63\, radec\, 19:39:25.03\, -63:42:45.7\, (200.0 12000.0 -11.11 7.777 -1.231),J1939-6342_N\, radec\, 19:39:25.03\, -63:32:45.9",SCI-20180516-MB-99,2020-03-16T00:51:19Z,1584319874,Fluxcal J1939-6342,255.89,SPOOLED,,1024,"J1939-6342_S,J1939-6342_O,PKS 1934-63,J1939-6342_N",8.56E8,1.712E9
"J1939-6342 | PKS1934-638 | PKS 1934-63\, radec bfcal single_accumulation\, 19:39:25.03\, -63:42:45.6\, (408.0 8640.0 -30.76 26.49 -7.098 0.6053)",SCI-20180516-MB-99,2020-03-16T00:40:58Z,1584319257,Meertime 1K L-band phase up with flatten bandpass,431.82,SPOOLED,,1024,"J1939-6342,PKS1934-638,PKS 1934-63",8.56E8,1.712E9
"J1324-6302\, radec Pulsars\, 13:24:13.65\, -63:02:21.1,J1432-5032\, radec Pulsars\, 14:32:52.27\, -50:32:17.3,J1433-6038\, radec Pulsars\, 14:33:13.18\, -60:38:34.7,J1700-4939\, radec Pulsars\, 17:00:22.56\, -49:39:15.0,J1702-4306\, radec Pulsars\, 17:02:27.29\, -43:06:44.0,J1703-4442\, radec Pulsars\, 17:03:20.59\, -44:42:42.0,J1708-3641\, radec Pulsars\, 17:08:35.91\, -36:41:21.5,J1709-3626\, radec Pulsars\, 17:09:45.15\, -36:26:03.6,J1709-4429\, radec Pulsars\, 17:09:42.62\, -44:29:13.0,J1715-3859\, radec Pulsars\, 17:15:37.89\, -38:59:25.1,J1716-4111\, radec Pulsars\, 17:16:44.31\, -41:11:09.5,J1717-5800\, radec Pulsars\, 17:17:35.65\, -58:00:05.4,J1718-4539\, radec Pulsars\, 17:18:11.90\, -45:39:15.9,J1726-3635\, radec Pulsars\, 17:26:49.61\, -36:35:45.6,J1714-1054\, radec Pulsars\, 17:14:40.12\, -10:54:10.9,J1738-2736\, radec Pulsars\, 17:38:14.63\, -27:36:25.8",SCI-20180516-MB-02,2020-03-15T20:01:23Z,1584302473,MeerTIME TPA 2020-03-04 (part 6),16553.0,SPOOLED,,1024,"J1324-6302,J1432-5032,J1433-6038,J1700-4939,J1702-4306,J1703-4442,J1708-3641,J1709-3626,J1709-4429,J1715-3859,J1716-4111,J1717-5800,J1718-4539,J1726-3635,J1714-1054,J1738-2736",8.56E8,1.712E9
"J0408-6545_S\, radec\, 4:08:20.38\, -65:55:08.9,J0408-6545_O | PKS 0408-65\, radec\, 4:08:20.38\, -65:45:09.1\, (1410.0 8400.0 -3.708 3.807 -0.7202),J0408-6545_N\, radec\, 4:08:20.38\, -65:35:09.3",SCI-20180516-MB-99,2020-03-15T19:46:13Z,1584301571,Fluxcal J0408-6545,263.89,SPOOLED,,1024,"J0408-6545_S,J0408-6545_O,PKS 0408-65,J0408-6545_N",8.56E8,1.712E9
"J0408-6545 | PKS 0408-65 | PKS 0407-65\, radec bfcal single_accumulation\, 4:08:20.38\, -65:45:09.1\, (850.0 1720.0 66.46 -62.7 20.46 -2.265)",SCI-20180516-MB-99,2020-03-15T19:31:06Z,1584300666,Meertime 1K L-band phase up with flatten bandpass,439.81,SPOOLED,,1024,"J0408-6545,PKS 0408-65,PKS 0407-65",8.56E8,1.712E9
"J1055-6905\, radec Pulsars\, 10:55:44.71\, -69:05:11.4,J1106-6438\, radec Pulsars\, 11:06:28.44\, -64:39:00.0,J1151-6108\, radec Pulsars\, 11:51:56.86\, -61:08:17.6,J1237-6725\, radec Pulsars\, 12:37:25.90\, -67:25:33.9,J1245-6238\, radec Pulsars\, 12:45:21.12\, -62:38:55.9,J1303-6305\, radec Pulsars\, 13:03:00.02\, -63:05:00.8",SCI-20180516-MB-02,2020-03-15T14:56:21Z,1584284172,"MeerTIME TPA 2020-03-04 (part 5) ",16393.06,SPOOLED,,1024,"J1055-6905,J1106-6438,J1151-6108,J1237-6725,J1245-6238,J1303-6305",8.56E8,1.712E9
