ProposalId,CaptureBlockId,Description,Duration,CAS.ProductTransferStatus,Public,NumFreqChannels,Targets,MinFreq,MaxFreq,RMSNoise
COM-20190710-SG-01,1596163435,Standard field for correlator tests [c544M4k]: Continuum image,,ARCHIVED,,,J2147-8132,,,6.788487371522933E-5
COM-20190710-SG-01,1596158164,Standard field for correlator tests [c856M4k]: Continuum image,,ARCHIVED,,,J2147-8132,,,2.6257726858602837E-5
COM-20200727-BH-01,1595890859,UHF smearing analysis on J1939-6342: Continuum image,,ARCHIVED,,,J1939-6342,,,4.598244413500652E-5
COM-20190710-SG-01,1593167454,Calibrator tracks for narrowband test 54 MHz: Continuum image,,ARCHIVED,,,J0408-6545,,,1.076406697393395E-4
COM-20190710-SG-01,1592993682,Calibrator tracks for narrowband test 107 MHz: Continuum image,,ARCHIVED,,,J0408-6545,,,8.113026706269011E-5
COM-20191119-GJ-01,1592689262,32K commissioning test: IC 1459: Continuum image,,ARCHIVED,,,J2256-3633,,,3.6294095480116084E-6
COM-20190710-SG-01,1592228769,Calibrator tracks for narrowband tests: Continuum image,,ARCHIVED,,,J0408-6545,,,1.1489603639347479E-4
COM-20190710-SG-01,1591960560,Calibrator tracks for narrowband tests: Continuum image,,ARCHIVED,,,J0408-6545,,,1.4103799185249954E-4
ENG-20200609-KM-01,1591919459,Flux cal test with DEEP2: Continuum image,,ARCHIVED,,,DEEP_2,,,3.1248935101757525E-6
COM-20191128-DH-01,1591712929,FBFUSE-astrokat testing v2: Continuum image,,ARCHIVED,,,B0835-4510,,,7.84146977821365E-5
COM-20190710-SG-01,1591364246,Stability track on J0408-6545 for correlator tests - c856 NB 32k+4k copy: Continuum image,,ARCHIVED,,,J0408-6545,,,2.018843952100724E-4
COM-20190710-SG-01,1591349311,Stability track on J0408-6545 for correlator tests - c856 NB 32k+4k copy: Continuum image,,ARCHIVED,,,J0408-6545,,,9.294771734857932E-5
COM-20190710-SG-01,1591344970,Standard field for correlator tests (longer) : Continuum image,,ARCHIVED,,,J2147-8132,,,4.2270738049410284E-5
COM-20190710-SG-01,1591341449,Standard field for correlator tests (longer) : Continuum image,,ARCHIVED,,,J2147-8132,,,4.1767034417716786E-5
COM-20200106-SP-01,1590569780,DEEP2 offset: J0358-8103 pipeline 32k testing (reobs) copy: Continuum image,,DELETED,,,J0358-8103,,,1.145526948675979E-5
COM-20190710-SG-01,1590555655,"[64 Antenna, c544M32k WB, 8s] Standard field for correlator tests: Continuum image",,ARCHIVED,,,J2147-8132,,,1.3202140689827502E-4
COM-20190710-SG-01,1590547878,"[64 Antenna, c544M4k WB, 8s] Standard field for correlator tests (longer): Continuum image",,ARCHIVED,,,J2147-8132,,,9.12043615244329E-5
COM-20190710-SG-01,1590496253,"Stability track on J0408-6545 for correlator tests - c856M32k, 8s: Continuum image",,DELETED,,,J0408-6545,,,1.3072801812086254E-4
COM-20190710-SG-01,1590496253,"Stability track on J0408-6545 for correlator tests - c856M32k, 8s: Continuum image",,DELETED,,,J0408-6545,,,9.856177348410711E-5
COM-20190710-SG-01,1590472348,Stability track on J0408-6545 for correlator tests - c856 NB 32k+4k: Continuum image,,ARCHIVED,,,J0408-6545,,,5.3854015277465805E-5
COM-20190710-SG-01,1590472348,Stability track on J0408-6545 for correlator tests - c856 NB 32k+4k: Continuum image,,ARCHIVED,,,J0408-6545,,,1.1929882020922378E-4
COM-20190710-SG-01,1590467454,Stability track on J0408-6545 for correlator tests - c856 NB 32k+4k: Continuum image,,ARCHIVED,,,J0408-6545,,,4.825408977922052E-4
COM-20190710-SG-01,1590381727,"[64 Antenna, c856M4k_n107M, 8s] Standard field for correlator tests: Continuum image",,ARCHIVED,,,J2147-8132,,,2.7882530048373155E-5
COM-20190710-SG-01,1590377455,"[64 Antenna, c856M32k WB, 8s] Standard field for correlator tests: Continuum image",,ARCHIVED,,,J2147-8132,,,3.499540616758168E-5
COM-20190710-SG-01,1590132961,"Stability track on J0408-6545 for correlator tests - c856M4k, 8s: Continuum image",,ARCHIVED,,,J0408-6545,,,5.3623989515472203E-5
COM-20190710-SG-01,1590132961,"Stability track on J0408-6545 for correlator tests - c856M4k, 8s: Continuum image",,ARCHIVED,,,J0408-6545,,,1.080393631127663E-4
COM-20190710-SG-01,1590129959,"[64 Antenna, c856M4k WB, 8s] Standard field for correlator tests copy: Continuum image",,ARCHIVED,,,J2147-8132,,,2.9058226573397405E-5
COM-20200106-SP-01,1589443259,DEEP2 offset: J0358-8103 pipeline 32k testing (reobs) copy: Continuum image,,DELETED,,,J0358-8103,,,1.2576922017615288E-5
COM-20190710-SG-01,1589001356,Long track on J0408 at UHF for calibration model: Continuum image,,ARCHIVED,,,J0408-6545,,,2.639491285663098E-4
COM-20200106-SP-01,1588845810,DEEP2 offset: J0358-8103 pipeline 32k testing (reobs): Continuum image,,DELETED,,,J0358-8103,,,8.664191227580886E-6
COM-20200106-SP-01,1588748217,Deep2 Offset test obs: Continuum image,,DELETED,,,J0358-8103,,,4.785376859217649E-6
COM-20200324-SG-01,1587767467,Observation of G330.89-0.36 to verify the off-by-1 channel effect in the correlator (54M narrowband): Continuum image,,ARCHIVED,,,G330_89-0_36,,,1.7391850997228175E-4
COM-20191128-DH-01,1587642213,MeerTRAP - track on B0450-18 and B0450-18_offset: Continuum image,,ARCHIVED,,,B0450-18_offset,,,8.882037946023047E-6
COM-20191128-DH-01,1587642213,MeerTRAP - track on B0450-18 and B0450-18_offset: Continuum image,,ARCHIVED,,,B0450-18,,,3.903395736415405E-6
COM-20191119-SP-01,1586545106,M83 32k Narrow-band Commissioning test: Continuum image,,ARCHIVED,,,M83_6,,,1.1228578841837589E-5
COM-20191119-SP-01,1586545106,M83 32k Narrow-band Commissioning test: Continuum image,,ARCHIVED,,,M83_5,,,1.019678711600136E-5
COM-20191119-SP-01,1586545106,M83 32k Narrow-band Commissioning test: Continuum image,,ARCHIVED,,,M83_4,,,1.281382174056489E-5
COM-20191119-SP-01,1586545106,M83 32k Narrow-band Commissioning test: Continuum image,,ARCHIVED,,,M83_3,,,1.0308945093129296E-5
COM-20191119-SP-01,1586545106,M83 32k Narrow-band Commissioning test: Continuum image,,ARCHIVED,,,M83_2,,,9.839285667112563E-6
COM-20191119-SP-01,1586545106,M83 32k Narrow-band Commissioning test: Continuum image,,ARCHIVED,,,M83_1,,,9.700068403617479E-6
COM-20191119-SP-01,1586545106,M83 32k Narrow-band Commissioning test: Continuum image,,ARCHIVED,,,M83_0,,,1.0332074452890083E-5
COM-20190710-SG-01,1586305859,"Standard field for correlator tests - c856M4k, 8s repeat: Continuum image",,ARCHIVED,,,J2147-8132,,,4.331538002588786E-5
COM-20190710-SG-01,1586162571,"Standard field for correlator tests - c544M1k, 8s redo: Continuum image",,ARCHIVED,,,J2147-8132,,,8.331605204148218E-5
COM-20190710-SG-01,1586078244,"Stability track on J0408-6545 for correlator tests - c856M4k, 8s: Continuum image",,ARCHIVED,,,J0408-6545,,,1.399916254740674E-5
COM-20190710-SG-01,1586074843,"Standard field for correlator tests - c856M4k, 8s: Continuum image",,ARCHIVED,,,J2147-8132,,,4.2590454540913925E-5
COM-20190710-SG-01,1586070058,"Standard field for correlator tests - c544M4k, 8s: Continuum image",,ARCHIVED,,,J2147-8132,,,1.9806859199889004E-4
COM-20190710-SG-01,1585992058,"Stability track on J0408-6545 for correlator tests - c856M1k, 8s: Continuum image",,ARCHIVED,,,J0408-6545,,,2.6866768166655675E-5
